ID;CLASS;EVENTS
46;0;1 6 9 12 15 18 20 23 27 30 33 36 37 40 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
47;1;3 6 9 12 15 18 21 24 27 30 33 36 37 40 44 48 51 54 55 59 63 66 69 72 74 76 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
48;0;1 5 7 12 15 18 20 22 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 98 102 105 108 111 114 117 120 123 126
49;0;3 6 9 12 15 18 19 23 25 29 32 36 39 42 45 48 51 54 57 60 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
50;1;3 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 59 62 64 69 72 75 78 81 84 87 90 91 94 99 102 105 108 110 114 117 120 123 126
51;2;3 6 9 12 15 18 19 23 26 28 31 35 39 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
52;0;3 6 9 12 15 18 19 23 26 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 97 102 105 108 110 114 117 120 123 126
53;0;2 4 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 113 116 120 123 126
54;0;2 6 9 12 15 18 20 24 27 30 33 36 37 40 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 113 115 120 123 126
55;1;1 6 9 12 15 18 19 23 27 30 33 36 39 42 45 48 51 54 56 59 61 64 68 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
56;0;1 4 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 59 61 65 68 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
57;0;2 4 9 12 15 18 20 23 25 30 33 36 39 42 45 48 51 54 55 59 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
58;0;3 6 9 12 15 18 21 24 27 30 33 36 37 40 44 47 49 54 55 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 110 114 117 120 123 126
59;1;1 4 8 12 15 18 21 24 27 30 33 36 38 41 43 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
60;0;3 6 9 12 15 18 19 23 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 92 94 99 102 105 108 109 113 117 120 123 126
61;2;1 6 9 12 15 18 20 23 25 30 33 36 38 40 44 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
62;0;3 6 9 12 15 18 21 24 27 30 33 36 38 40 45 48 51 54 55 59 63 66 69 72 75 78 81 84 87 90 91 95 98 100 105 108 111 114 117 120 123 126
63;1;1 5 7 10 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 59 62 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
64;0;1 5 9 12 15 18 19 22 27 30 33 36 37 41 45 48 51 54 56 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
65;0;3 6 9 12 15 18 20 22 26 28 32 36 37 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
66;0;2 4 8 11 15 18 19 22 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
67;1;1 5 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 56 59 61 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
68;0;1 6 9 12 15 18 20 22 26 30 33 36 39 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
69;0;3 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 58 61 66 69 72 75 78 81 84 87 90 92 94 98 101 105 108 111 114 117 120 123 126
70;0;1 5 9 12 15 18 19 23 25 28 32 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
71;1;1 5 9 12 15 18 20 22 26 29 31 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
72;2;3 6 9 12 15 18 21 24 27 30 33 36 37 40 44 46 51 54 57 60 63 66 69 72 74 77 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
73;0;3 6 9 12 15 18 20 23 26 28 32 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 112 117 120 123 126
74;0;2 6 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 116 118 123 126
75;1;1 4 9 12 15 18 19 23 25 29 32 36 39 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
76;0;1 6 9 12 15 18 20 24 27 30 33 36 39 42 45 48 51 54 55 59 61 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 110 113 117 120 123 126
77;0;2 5 7 12 15 18 19 24 27 30 33 36 38 40 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
78;0;1 5 9 12 15 18 21 24 27 30 33 36 38 41 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 94 97 102 105 108 111 114 117 120 123 126
79;1;1 6 9 12 15 18 21 24 27 30 33 36 37 40 44 48 51 54 56 60 63 66 69 72 73 77 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
80;0;3 6 9 12 15 18 19 22 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 74 77 81 84 87 90 91 95 97 102 105 108 111 114 117 120 123 126
81;0;1 6 9 12 15 18 20 24 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
82;2;1 6 9 12 15 18 21 24 27 30 33 36 38 40 44 46 49 54 57 60 63 66 69 72 75 78 81 84 87 90 92 95 99 102 105 108 111 114 117 120 123 126
83;0;1 5 7 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 59 61 65 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
84;1;1 4 9 12 15 18 21 24 27 30 33 36 38 40 45 48 51 54 56 59 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
85;0;2 4 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 76 80 82 87 90 93 96 99 102 105 108 110 114 117 120 123 126
86;0;3 6 9 12 15 18 19 22 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 74 77 79 82 86 90 93 96 99 102 105 108 110 114 117 120 123 126
87;1;2 4 9 12 15 18 19 24 27 30 33 36 38 41 45 48 51 54 55 59 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
88;0;2 5 9 12 15 18 21 24 27 30 33 36 37 40 44 47 51 54 57 60 63 66 69 72 73 76 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
89;0;3 6 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 98 102 105 108 110 113 115 120 123 126
90;0;1 6 9 12 15 18 20 22 26 28 31 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
91;1;3 6 9 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 55 58 62 65 67 72 73 77 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
92;0;3 6 9 12 15 18 20 24 27 30 33 36 37 40 45 48 51 54 57 60 63 66 69 72 74 76 81 84 87 90 92 94 98 102 105 108 111 114 117 120 123 126
93;2;2 6 9 12 15 18 19 24 27 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 91 95 97 101 105 108 111 114 117 120 123 126
94;0;2 5 7 10 15 18 21 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 95 99 102 105 108 109 114 117 120 123 126
95;0;2 4 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 57 60 63 66 69 72 74 77 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
96;1;3 6 9 12 15 18 20 23 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 94 98 102 105 108 109 114 117 120 123 126
97;0;2 5 7 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 94 98 102 105 108 110 114 117 120 123 126
98;0;3 6 9 12 15 18 19 23 26 28 32 36 38 40 43 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
99;1;1 4 9 12 15 18 19 22 26 30 33 36 38 42 45 48 51 54 56 59 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
100;0;2 5 9 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 55 59 61 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 112 117 120 123 126
101;0;3 6 9 12 15 18 19 23 27 30 33 36 38 40 45 48 51 54 56 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 109 114 117 120 123 126
102;0;2 6 9 12 15 18 20 24 27 30 33 36 38 41 45 48 51 54 55 58 63 66 69 72 75 78 81 84 87 90 91 94 99 102 105 108 111 114 117 120 123 126
103;2;2 4 9 12 15 18 21 24 27 30 33 36 37 41 43 47 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
104;1;3 6 9 12 15 18 20 23 25 30 33 36 37 40 44 47 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
105;0;2 4 8 12 15 18 20 24 27 30 33 36 39 42 45 48 51 54 55 59 61 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
106;0;3 6 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 74 78 81 84 87 90 91 94 98 101 105 108 111 114 117 120 123 126
107;0;2 4 8 12 15 18 21 24 27 30 33 36 37 41 43 46 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
108;1;1 6 9 12 15 18 19 23 25 29 33 36 37 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
109;0;2 6 9 12 15 18 21 24 27 30 33 36 37 41 43 48 51 54 57 60 63 66 69 72 73 78 81 84 87 90 92 96 99 102 105 108 110 112 117 120 123 126
110;0;3 6 9 12 15 18 20 23 25 30 33 36 39 42 45 48 51 54 55 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 116 120 123 126
111;1;2 4 7 12 15 18 21 24 27 30 33 36 37 40 44 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
112;0;1 6 9 12 15 18 20 24 27 30 33 36 38 40 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 95 97 102 105 108 111 114 117 120 123 126
113;0;2 4 8 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 58 63 66 69 72 75 78 81 84 87 90 91 95 98 102 105 108 111 114 117 120 123 126
114;2;1 5 7 10 15 18 20 24 27 30 33 36 39 42 45 48 51 54 55 59 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
115;0;1 6 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 74 76 80 84 87 90 92 95 97 102 105 108 111 114 117 120 123 126
116;1;1 6 9 12 15 18 21 24 27 30 33 36 38 40 43 48 51 54 55 59 62 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
117;0;3 6 9 12 15 18 20 23 25 29 31 36 37 42 45 48 51 54 57 60 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
118;0;2 5 7 12 15 18 19 24 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 74 76 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
119;0;1 5 9 12 15 18 20 24 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 99 102 105 108 109 112 117 120 123 126
120;1;3 6 9 12 15 18 19 22 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 74 76 80 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
121;0;1 5 9 12 15 18 21 24 27 30 33 36 37 41 43 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 115 120 123 126
122;0;1 5 7 11 15 18 21 24 27 30 33 36 37 41 43 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
123;1;1 4 8 12 15 18 20 23 27 30 33 36 39 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
124;2;1 4 9 12 15 18 20 24 27 30 33 36 38 40 44 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
125;0;3 6 9 12 15 18 20 22 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 109 113 116 120 123 126
126;0;2 4 9 12 15 18 21 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 110 112 117 120 123 126
127;0;1 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 59 63 66 69 72 74 76 80 82 87 90 92 96 99 102 105 108 111 114 117 120 123 126
128;1;3 6 9 12 15 18 19 24 27 30 33 36 37 41 44 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 113 115 120 123 126
129;0;1 5 9 12 15 18 19 22 26 28 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 117 120 123 126
130;0;3 6 9 12 15 18 20 23 27 30 33 36 37 40 44 46 49 53 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
131;0;1 4 8 12 15 18 20 22 25 30 33 36 39 42 45 48 51 54 56 59 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
132;1;2 4 9 12 15 18 19 23 27 30 33 36 37 42 45 48 51 54 56 59 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
133;0;3 6 9 12 15 18 19 22 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 94 98 100 104 108 111 114 117 120 123 126
134;0;2 5 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 57 60 63 66 69 72 74 76 80 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
135;2;3 6 9 12 15 18 20 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 97 102 105 108 109 113 117 120 123 126
136;1;1 4 9 12 15 18 21 24 27 30 33 36 37 40 44 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 117 120 123 126
137;0;3 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 55 59 63 66 69 72 74 76 79 84 87 90 93 96 99 102 105 108 110 113 117 120 123 126
138;0;2 4 8 10 15 18 19 24 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
139;0;3 6 9 12 15 18 19 22 27 30 33 36 38 42 45 48 51 54 55 59 61 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 110 114 117 120 123 126
140;1;3 6 9 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 55 59 61 65 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 114 117 120 123 126
141;0;3 6 9 12 15 18 20 24 27 30 33 36 38 42 45 48 51 54 55 59 61 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 112 117 120 123 126
142;0;3 6 9 12 15 18 20 23 27 30 33 36 38 40 45 48 51 54 55 60 63 66 69 72 73 76 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
143;0;2 6 9 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 55 59 63 66 69 72 74 76 79 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
144;1;3 6 9 12 15 18 19 24 27 30 33 36 37 41 44 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
145;2;1 6 9 12 15 18 20 23 27 30 33 36 37 40 44 46 50 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
146;0;3 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 91 94 98 100 104 108 110 114 117 120 123 126
147;0;1 5 9 12 15 18 20 23 27 30 33 36 39 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 91 95 97 102 105 108 111 114 117 120 123 126
148;1;2 4 9 12 15 18 19 24 27 30 33 36 38 42 45 48 51 54 56 59 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 112 117 120 123 126
149;0;2 4 8 12 15 18 19 23 25 30 33 36 39 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
150;0;2 4 7 11 15 18 19 22 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
151;0;2 6 9 12 15 18 20 22 25 30 33 36 37 42 45 48 51 54 56 60 63 66 69 72 73 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
152;1;3 6 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 55 59 62 66 69 72 74 77 79 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
153;0;2 6 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 113 115 119 123 126
154;0;3 6 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 95 99 102 105 108 110 112 116 120 123 126
155;0;3 6 9 12 15 18 19 23 27 30 33 36 38 41 44 46 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 94 99 102 105 108 111 114 117 120 123 126
156;2;3 6 9 12 15 18 19 23 26 28 33 36 37 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
157;1;1 6 9 12 15 18 20 24 27 30 33 36 37 41 44 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 114 117 120 123 126
